"","dz_2014_strat_0","dz_2014_strat_1","dz_2014_strat_2.5","dz_2014_strat_5","dz_2014_strat_11","dz_2014_strat_15","dz_2014_strat_17","dz_2014_unstrat_0","dz_2014_unstrat_1","dz_2014_unstrat_2.5","dz_2014_unstrat_5","dz_2014_unstrat_11","dz_2014_unstrat_15","dz_2014_unstrat_17","dz_2015_strat_0","dz_2015_strat_1","dz_2015_strat_2.5","dz_2015_strat_5","dz_2015_strat_11","dz_2015_strat_15","dz_2015_strat_17","dz_2015_unstrat_0.25","dz_2015_unstrat_1","dz_2015_unstrat_2.5","dz_2015_unstrat_5","dz_2015_unstrat_11","dz_2015_unstrat_15","dz_2015_unstrat_17","taxonomy","Domain","Phylum","Class","Order","Family","Genus","Species"
"Bac_OTU_112",34,21,13,6,3,0,2,23,27,46,49,25,7,0,0,0,1,1,3,2,0,80,109,143,220,296,169,9,"Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unknowngenus","unknownspecies"
"Bac_OTU_113",0,0,47,226,199,224,299,3,7,7,9,7,114,326,1,0,120,216,116,107,52,4,1,4,6,13,3,34,"Bacteria; Firmicutes; Clostridia; unknown order; unknown family; unknown genus; Multi-affiliation","Bacteria","Firmicutes","Clostridia","unknownorder","unknownfamily","unknowngenus","Multi-affiliation"
"Bac_OTU_114",1,1,86,214,135,331,142,0,0,2,0,0,101,136,2,1,59,117,84,170,135,4,0,3,5,0,3,223,"Bacteria; TA06; unknown class; unknown order; unknown family; unknown genus; unknown species","Bacteria","TA06","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_115",0,0,33,96,123,74,185,8,9,17,5,14,261,172,5,9,66,137,90,84,115,6,6,17,40,11,15,183,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","unknowngenus","unknownspecies"
"Bac_OTU_116",2,5,44,334,277,259,48,12,25,23,24,11,58,37,0,0,55,64,106,123,65,0,1,0,4,2,5,107,"Bacteria; Chloroflexi; SBR2076; unknown order; unknown family; unknown genus; unknown species","Bacteria","Chloroflexi","SBR2076","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_117",0,0,0,0,0,0,0,0,1,1,2,2,1,0,8,3,236,328,218,148,47,0,0,1,0,0,0,82,"Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Marinilabiaceae; unknown genus; unknown species","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinilabiaceae","unknowngenus","unknownspecies"
"Bac_OTU_119",1,0,4,23,21,44,31,0,1,1,0,0,36,22,2,0,84,166,127,182,327,10,2,3,5,6,4,205,"Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; ML635J-40 aquatic group; unknown genus; unknown species","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","ML635J-40aquaticgroup","unknowngenus","unknownspecies"
"Bac_OTU_120",0,0,8,77,114,217,250,1,2,1,1,1,71,183,2,0,37,92,65,164,269,2,6,0,1,0,4,136,"Bacteria; Synergistetes; Synergistia; Synergistales; Synergistaceae; unknown genus; unknown species","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","unknowngenus","unknownspecies"
"Bac_OTU_121",0,0,8,51,28,160,138,2,3,3,6,3,37,73,0,0,60,75,62,225,444,5,9,28,2,9,4,358,"Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; ML635J-40 aquatic group; unknown genus; unknown species","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","ML635J-40aquaticgroup","unknowngenus","unknownspecies"
"Bac_OTU_122",1,0,31,89,62,94,300,1,3,0,3,0,83,171,6,0,145,145,121,130,160,3,10,4,4,17,4,58,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Dethiobacter; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","Dethiobacter","unknownspecies"
"Bac_OTU_124",8,54,11,1,2,0,0,1,0,0,0,0,2,0,53,53,40,18,24,10,9,126,107,87,69,163,117,5,"Bacteria; Proteobacteria; Deltaproteobacteria; Bradymonadales; unknown family; unknown genus; unknown species","Bacteria","Proteobacteria","Deltaproteobacteria","Bradymonadales","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_125",0,0,16,176,142,122,142,1,0,0,0,0,24,146,2,0,70,137,91,178,185,6,7,0,0,2,1,37,"Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae 2; Alkaliphilus; Alkaliphilus peptidifermentans","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae2","Alkaliphilus","Alkaliphiluspeptidifermentans"
"Bac_OTU_126",0,0,8,8,8,9,3,6,0,5,6,0,32,7,1,0,113,183,94,233,215,6,5,0,0,0,4,177,"Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; ML635J-40 aquatic group; unknown genus; unknown species","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","ML635J-40aquaticgroup","unknowngenus","unknownspecies"
"Bac_OTU_127",0,0,22,13,35,87,83,1,1,2,2,3,30,92,1,0,64,119,55,203,192,7,8,12,8,2,1,108,"Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; ML635J-40 aquatic group; unknown genus; unknown species","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","ML635J-40aquaticgroup","unknowngenus","unknownspecies"
"Bac_OTU_128",22,3,37,37,79,146,315,36,53,109,57,33,146,269,3,20,81,161,96,83,49,13,17,14,10,13,11,31,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","unknowngenus","unknownspecies"
"Bac_OTU_129",1,7,70,196,180,177,223,9,5,15,11,20,222,390,0,0,48,66,49,73,108,2,2,4,1,14,7,105,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","unknowngenus","unknownspecies"
"Bac_OTU_130",1,0,8,22,31,71,76,2,1,2,1,4,28,43,3,0,68,155,112,117,247,10,6,9,10,8,11,127,"Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; ML635J-40 aquatic group; unknown genus; unknown species","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","ML635J-40aquaticgroup","unknowngenus","unknownspecies"
"Bac_OTU_132",28,28,30,4,6,1,0,88,110,126,121,136,48,1,101,62,75,134,93,23,16,27,31,40,47,34,43,18,"Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Multi-affiliation; Multi-affiliation","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Multi-affiliation","Multi-affiliation"
"Bac_OTU_133",17,3,13,21,24,5,7,20,15,11,18,19,11,5,90,129,45,66,55,34,11,69,88,73,76,41,63,9,"Bacteria; Actinobacteria; Nitriliruptoria; Nitriliruptorales; Nitriliruptoraceae; unknown genus; unknown species","Bacteria","Actinobacteria","Nitriliruptoria","Nitriliruptorales","Nitriliruptoraceae","unknowngenus","unknownspecies"
"Bac_OTU_134",0,0,7,44,65,202,95,0,0,0,0,1,34,103,1,0,26,107,162,115,164,4,2,2,2,18,2,98,"Bacteria; Actinobacteria; OPB41; unknown order; unknown family; unknown genus; unknown species","Bacteria","Actinobacteria","OPB41","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_135",157,49,2,0,0,0,0,10,12,15,13,9,0,0,313,386,34,5,2,0,0,27,51,34,36,43,20,0,"Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Multi-affiliation; Multi-affiliation; Multi-affiliation","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Multi-affiliation","Multi-affiliation","Multi-affiliation"
"Bac_OTU_136",31,13,5,0,0,0,0,5,7,11,20,17,0,0,39,23,9,1,1,0,0,88,144,98,99,176,97,3,"Bacteria; Bacteroidetes; Sphingobacteriia; Sphingobacteriales; NS11-12 marine group; unknown genus; unknown species","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","NS11-12marinegroup","unknowngenus","unknownspecies"
"Bac_OTU_137",0,1,4,101,140,308,304,8,14,6,11,4,65,183,1,0,25,114,46,88,107,5,11,16,22,8,0,43,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","unknowngenus","unknownspecies"
"Bac_OTU_138",0,1,41,80,66,7,38,4,10,10,7,8,109,46,1,2,161,232,113,41,37,11,1,6,3,3,6,35,"Bacteria; Firmicutes; Clostridia; Multi-affiliation; Multi-affiliation; Multi-affiliation; Multi-affiliation","Bacteria","Firmicutes","Clostridia","Multi-affiliation","Multi-affiliation","Multi-affiliation","Multi-affiliation"
"Bac_OTU_140",0,0,17,56,67,62,153,9,7,3,4,3,81,69,2,3,58,107,59,136,106,6,5,15,15,11,19,172,"Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unknowngenus","unknownspecies"
"Bac_OTU_141",0,0,46,327,183,139,42,0,0,0,0,1,22,21,0,2,79,150,118,84,109,7,8,8,11,12,5,47,"Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; ML635J-40 aquatic group; unknown genus; unknown species","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","ML635J-40aquaticgroup","unknowngenus","unknownspecies"
"Bac_OTU_143",1,0,10,84,57,117,381,24,17,14,22,18,170,185,6,2,32,68,31,52,115,19,11,45,23,11,17,97,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","unknowngenus","unknownspecies"
"Bac_OTU_144",32,22,9,2,1,1,3,32,40,115,98,70,17,1,94,118,35,22,22,10,32,39,57,41,82,97,51,18,"Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Cryomorphaceae; unknown genus; unknown species","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","unknowngenus","unknownspecies"
"Bac_OTU_146",33,23,7,2,1,1,0,33,17,21,26,37,0,1,137,172,10,4,4,5,0,53,75,59,49,76,45,2,"Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; unknown family; unknown genus; Ferrovibrio sp.","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","unknownfamily","unknowngenus","Ferrovibriosp."
"Bac_OTU_148",2,1,20,135,66,122,269,1,1,2,12,6,98,166,1,0,39,59,54,117,81,3,3,8,10,7,4,48,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","unknowngenus","unknownspecies"
"Bac_OTU_149",2,0,66,155,142,358,158,0,4,1,2,2,9,269,3,0,15,41,26,45,32,8,7,5,12,7,16,8,"Bacteria; Firmicutes; Clostridia; M55-D21; unknown family; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","M55-D21","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_150",47,27,30,24,11,1,0,163,168,157,129,182,29,4,105,72,18,42,16,17,11,15,18,29,6,15,7,1,"Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; unknown genus; unknown species","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","unknowngenus","unknownspecies"
"Bac_OTU_151",0,0,4,87,62,127,142,5,10,5,19,17,114,108,0,0,13,30,44,74,130,9,7,11,9,4,6,136,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","unknowngenus","unknownspecies"
