"","dz_2014_strat_0","dz_2014_strat_1","dz_2014_strat_2.5","dz_2014_strat_5","dz_2014_strat_11","dz_2014_strat_15","dz_2014_strat_17","dz_2014_unstrat_0","dz_2014_unstrat_1","dz_2014_unstrat_2.5","dz_2014_unstrat_5","dz_2014_unstrat_11","dz_2014_unstrat_15","dz_2014_unstrat_17","dz_2015_strat_0","dz_2015_strat_1","dz_2015_strat_2.5","dz_2015_strat_5","dz_2015_strat_11","dz_2015_strat_15","dz_2015_strat_17","dz_2015_unstrat_0.25","dz_2015_unstrat_1","dz_2015_unstrat_2.5","dz_2015_unstrat_5","dz_2015_unstrat_11","dz_2015_unstrat_15","dz_2015_unstrat_17","taxonomy","Domain","Phylum","Class","Order","Family","Genus","Species"
"Bac_OTU_164",2,2,11,23,12,11,3,6,6,11,13,7,14,19,16,13,56,73,47,60,13,25,27,20,21,40,42,33,"Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; unknown genus; unknown species","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","unknowngenus","unknownspecies"
"Bac_OTU_166",0,0,0,0,0,0,0,23,24,25,30,25,30,0,98,143,12,7,16,2,2,22,17,36,32,20,25,82,"Bacteria; Chloroflexi; Caldilineae; Caldilineales; Caldilineaceae; unknown genus; unknown species","Bacteria","Chloroflexi","Caldilineae","Caldilineales","Caldilineaceae","unknowngenus","unknownspecies"
"Bac_OTU_167",0,0,8,11,4,8,10,0,0,0,0,1,7,4,11,2,92,125,100,32,31,8,10,7,7,15,19,4,"Bacteria; Firmicutes; Clostridia; M55-D21; unknown family; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","M55-D21","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_168",209,159,54,2,14,29,0,0,0,0,0,0,0,2,123,146,19,2,6,1,21,0,0,0,0,0,0,0,"Bacteria; Bacteroidetes; Sphingobacteriia; Sphingobacteriales; unknown family; unknown genus; unknown species","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_169",0,0,2,98,143,108,45,1,0,0,0,0,12,31,0,0,8,38,57,75,91,2,0,0,3,0,0,10,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Dethiobacter; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","Dethiobacter","unknownspecies"
"Bac_OTU_170",0,0,15,51,30,51,147,0,0,0,0,0,24,91,0,0,39,43,40,66,112,0,0,3,3,0,0,15,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Dethiobacter; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","Dethiobacter","unknownspecies"
"Bac_OTU_171",2,2,0,0,0,0,0,4,5,2,4,3,0,0,14,12,4,0,1,1,0,49,52,71,87,110,55,3,"Bacteria; Bacteroidetes; Bacteroidetes Incertae Sedis; Order III; unknown family; unknown genus; unknown species","Bacteria","Bacteroidetes","BacteroidetesIncertaeSedis","OrderIII","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_172",0,0,11,8,3,0,1,0,1,1,2,1,2,0,2,0,51,62,38,15,6,45,33,44,46,60,54,2,"Bacteria; Lentisphaerae; Oligosphaeria; Oligosphaerales; MVP-94; unknown genus; Victivallales bacterium Lenti_02","Bacteria","Lentisphaerae","Oligosphaeria","Oligosphaerales","MVP-94","unknowngenus","VictivallalesbacteriumLenti_02"
"Bac_OTU_173",0,0,6,51,84,156,140,0,0,0,0,0,19,92,0,0,27,46,63,53,45,3,1,11,0,0,2,27,"Bacteria; Synergistetes; Synergistia; Synergistales; Synergistaceae; unknown genus; unknown species","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","unknowngenus","unknownspecies"
"Bac_OTU_174",0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,1,23,55,0,0,0,0,0,0,429,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","unknowngenus","unknownspecies"
"Bac_OTU_175",14,11,1,0,2,0,0,2,0,0,0,2,0,0,73,88,4,2,0,0,0,39,52,54,44,80,56,1,"Bacteria; Actinobacteria; Nitriliruptoria; Nitriliruptorales; Nitriliruptoraceae; unknown genus; unknown species","Bacteria","Actinobacteria","Nitriliruptoria","Nitriliruptorales","Nitriliruptoraceae","unknowngenus","unknownspecies"
"Bac_OTU_176",0,2,32,78,31,56,111,5,8,11,8,8,40,35,5,0,11,27,15,81,86,9,4,10,15,32,10,26,"Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","unknowngenus","unknownspecies"
"Bac_OTU_177",0,0,11,8,16,2,5,0,1,0,0,0,8,5,0,0,111,146,68,43,23,3,1,1,0,7,4,10,"Bacteria; Firmicutes; Clostridia; Clostridiales; P. palm C-A 51; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","P.palmC-A51","unknowngenus","unknownspecies"
"Bac_OTU_178",39,4,0,0,0,0,0,12,4,8,5,7,0,0,118,84,8,1,2,1,0,41,70,71,50,64,34,0,"Bacteria; Actinobacteria; Nitriliruptoria; Nitriliruptorales; Nitriliruptoraceae; unknown genus; unknown species","Bacteria","Actinobacteria","Nitriliruptoria","Nitriliruptorales","Nitriliruptoraceae","unknowngenus","unknownspecies"
"Bac_OTU_179",0,0,20,55,41,74,138,0,1,2,1,2,80,58,5,4,55,64,67,55,141,12,15,19,24,24,10,84,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Dethiobacter; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","Dethiobacter","unknownspecies"
"Bac_OTU_180",0,0,16,20,49,18,66,6,6,5,1,1,52,103,2,0,47,103,50,45,38,4,1,3,1,12,3,35,"Bacteria; Firmicutes; Clostridia; ML635J-38; unknown family; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","ML635J-38","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_181",1,0,34,55,106,32,16,0,0,0,0,0,7,26,2,0,67,108,49,42,36,1,0,2,0,3,0,22,"Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Marinilabiaceae; unknown genus; unknown species","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinilabiaceae","unknowngenus","unknownspecies"
"Bac_OTU_182",10,8,6,14,17,0,1,11,15,22,10,20,2,0,67,54,5,4,3,4,1,32,48,48,43,29,39,7,"Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Paracoccus; Paracoccus sp.","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","Paracoccussp."
"Bac_OTU_183",0,0,32,81,28,186,240,0,0,1,0,0,71,153,2,0,25,36,26,31,56,1,0,1,0,1,2,19,"Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unknowngenus","unknownspecies"
"Bac_OTU_184",0,0,6,8,13,3,7,4,21,9,16,6,0,9,0,0,25,19,14,7,4,46,17,32,51,86,52,1,"Bacteria; Elusimicrobia; Elusimicrobia; Rs-M47; unknown family; unknown genus; unknown species","Bacteria","Elusimicrobia","Elusimicrobia","Rs-M47","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_185",10,8,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,46,48,50,76,76,12,"Bacteria; Proteobacteria; Deltaproteobacteria; Bdellovibrionales; Bdellovibrionaceae; OM27 clade; unknown species","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","OM27clade","unknownspecies"
"Bac_OTU_186",3,3,14,16,14,64,14,7,9,15,9,7,0,18,80,139,10,14,15,1,6,10,23,7,10,3,15,0,"Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rubribacterium; unknown species","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubribacterium","unknownspecies"
"Bac_OTU_187",0,0,18,31,49,28,19,2,2,0,2,1,29,20,1,0,28,18,54,46,99,2,8,3,8,12,4,10,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Dethiobacter; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","Dethiobacter","unknownspecies"
"Bac_OTU_188",0,0,5,13,81,60,62,11,12,22,14,12,11,115,2,0,6,12,12,37,41,14,15,44,14,15,19,7,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","unknowngenus","unknownspecies"
"Bac_OTU_189",0,0,7,15,11,76,58,1,1,0,4,1,30,47,0,0,21,41,25,76,61,0,0,2,0,0,0,37,"Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; ML635J-40 aquatic group; unknown genus; unknown species","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","ML635J-40aquaticgroup","unknowngenus","unknownspecies"
"Bac_OTU_191",0,0,9,127,98,49,22,3,0,0,0,0,9,0,2,0,17,30,21,15,49,3,3,4,7,7,2,94,"Bacteria; Spirochaetae; Spirochaetes; Spirochaetales; Spirochaetaceae; unknown genus; unknown species","Bacteria","Spirochaetae","Spirochaetes","Spirochaetales","Spirochaetaceae","unknowngenus","unknownspecies"
"Bac_OTU_192",0,0,16,99,143,82,10,0,0,0,1,0,12,8,0,2,20,97,49,53,49,5,10,7,13,1,9,34,"Bacteria; LCP-89; unknown class; unknown order; unknown family; unknown genus; unknown species","Bacteria","LCP-89","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_193",21,10,8,0,0,0,0,0,0,0,0,0,3,0,161,239,3,1,0,1,0,0,0,1,0,0,0,0,"Bacteria; Acidobacteria; Solibacteres; Solibacterales; Solibacteraceae (Subgroup 3); PAUC26f; unknown species","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae(Subgroup3)","PAUC26f","unknownspecies"
"Bac_OTU_194",24,4,8,0,0,0,0,39,22,90,54,57,5,0,98,94,7,5,1,1,4,34,28,20,9,27,13,1,"Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; NS9 marine group; unknown genus; unknown species","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","NS9marinegroup","unknowngenus","unknownspecies"
"Bac_OTU_195",0,0,1,9,8,19,53,0,0,0,0,0,2,42,1,0,26,55,37,65,119,2,0,0,1,4,1,39,"Bacteria; Elusimicrobia; Elusimicrobia; Rs-M47; unknown family; unknown genus; unknown species","Bacteria","Elusimicrobia","Elusimicrobia","Rs-M47","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_196",0,0,4,73,52,58,66,3,1,0,2,1,37,30,2,0,34,71,46,65,62,3,6,7,5,5,4,71,"Bacteria; Firmicutes; Clostridia; Halanaerobiales; ODP1230B8.23; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Halanaerobiales","ODP1230B8.23","unknowngenus","unknownspecies"
"Bac_OTU_197",10,3,2,0,0,0,0,10,8,14,4,12,0,0,39,45,2,2,2,0,1,51,40,50,41,35,32,0,"Bacteria; Actinobacteria; Nitriliruptoria; Nitriliruptorales; Nitriliruptoraceae; unknown genus; unknown species","Bacteria","Actinobacteria","Nitriliruptoria","Nitriliruptorales","Nitriliruptoraceae","unknowngenus","unknownspecies"
"Bac_OTU_198",25,3,0,0,1,0,0,7,13,9,14,5,0,0,55,64,7,1,3,0,1,36,50,23,28,43,40,0,"Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; LWSR-14; unknown genus; unknown species","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","LWSR-14","unknowngenus","unknownspecies"
"Bac_OTU_199",24,19,6,0,0,0,0,110,52,47,62,113,2,0,12,27,3,1,1,0,0,21,53,23,15,23,15,1,"Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; unknown genus; unknown species","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","unknowngenus","unknownspecies"
"Bac_OTU_200",20,8,2,0,0,0,0,8,17,17,8,13,1,0,22,26,4,3,8,2,4,38,32,43,52,35,25,1,"Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; unknown genus; unknown species","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","unknowngenus","unknownspecies"
"Bac_OTU_201",47,16,15,15,0,0,5,69,108,97,84,85,5,7,39,45,9,8,6,2,1,19,14,12,15,17,14,1,"Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; unknown genus; unknown species","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","unknowngenus","unknownspecies"
"Bac_OTU_202",18,7,13,25,16,2,10,37,25,31,14,42,7,25,13,26,13,35,36,16,18,17,45,32,17,16,24,7,"Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; unknown genus; unknown species","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","unknowngenus","unknownspecies"
"Bac_OTU_203",4,0,165,93,29,18,23,1,1,0,0,0,1,5,1,0,8,17,6,3,3,26,7,15,14,20,21,2,"Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; ML635J-40 aquatic group; unknown genus; unknown species","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","ML635J-40aquaticgroup","unknowngenus","unknownspecies"
"Bac_OTU_204",32,9,4,6,4,5,5,20,23,22,32,17,6,6,51,55,13,6,16,11,1,19,21,22,12,19,16,1,"Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; unknown genus; unknown species","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","unknowngenus","unknownspecies"
"Bac_OTU_205",0,0,0,45,128,2,6,0,0,0,1,0,3,5,1,0,16,34,72,64,11,1,0,1,0,1,2,0,"Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae 2; Alkaliphilus; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae2","Alkaliphilus","unknownspecies"
"Bac_OTU_206",0,0,5,21,41,59,79,1,0,0,0,0,22,51,0,0,16,26,27,48,76,2,1,1,0,2,0,26,"Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Gelria; unknown species","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Gelria","unknownspecies"
"Bac_OTU_207",0,0,4,59,43,67,46,0,0,0,1,1,23,15,0,9,42,38,16,51,29,0,0,0,0,7,0,5,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Dethiobacter; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","Dethiobacter","unknownspecies"
"Bac_OTU_208",1,0,4,13,12,0,3,0,0,0,0,0,1,1,0,0,5,14,11,19,10,47,46,27,33,17,29,4,"Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; ML635J-40 aquatic group; unknown genus; unknown species","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","ML635J-40aquaticgroup","unknowngenus","unknownspecies"
"Bac_OTU_209",0,0,9,42,38,22,107,0,1,5,2,2,125,110,0,0,13,38,10,45,37,0,0,1,0,0,0,44,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","unknowngenus","unknownspecies"
"Bac_OTU_210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,1,0,1,1,1,33,47,55,56,49,36,3,"Bacteria; Proteobacteria; Deltaproteobacteria; Bradymonadales; unknown family; unknown genus; unknown species","Bacteria","Proteobacteria","Deltaproteobacteria","Bradymonadales","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_211",0,0,0,15,3,38,16,0,0,0,0,0,119,7,0,0,1,0,3,18,41,0,0,0,0,0,0,207,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","unknowngenus","unknownspecies"
"Bac_OTU_213",1,0,7,14,26,40,17,0,2,0,2,1,25,13,0,0,37,40,31,56,41,2,0,2,0,0,0,25,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Dethiobacter; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","Dethiobacter","unknownspecies"
"Bac_OTU_214",0,0,5,27,19,11,16,2,1,3,2,1,18,10,0,8,39,52,39,63,68,0,0,0,1,0,0,46,"Bacteria; Firmicutes; Clostridia; Halanaerobiales; ODP1230B8.23; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Halanaerobiales","ODP1230B8.23","unknowngenus","unknownspecies"
"Bac_OTU_215",3,0,23,61,39,65,81,2,0,0,1,1,39,47,0,0,18,13,21,28,36,3,6,5,0,0,0,40,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Dethiobacter; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","Dethiobacter","unknownspecies"
"Bac_OTU_216",2,14,50,61,26,3,6,0,0,0,0,0,1,1,6,1,0,2,1,0,2,23,19,51,38,16,34,12,"Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; ML635J-40 aquatic group; unknown genus; unknown species","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","ML635J-40aquaticgroup","unknowngenus","unknownspecies"
"Bac_OTU_217",1,0,90,8,6,3,15,0,0,0,0,0,4,5,0,0,46,29,42,9,14,1,1,0,0,0,4,18,"Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiales Incertae Sedis; Dethiosulfatibacter; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","ClostridialesIncertaeSedis","Dethiosulfatibacter","unknownspecies"
"Bac_OTU_218",0,0,10,25,33,17,7,0,0,0,2,0,35,5,0,0,9,11,25,26,51,0,0,0,0,0,0,130,"Bacteria; Bacteroidetes; Bacteroidetes BD2-2; unknown order; unknown family; unknown genus; unknown species","Bacteria","Bacteroidetes","BacteroidetesBD2-2","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_219",0,0,0,1,5,1,14,0,2,2,2,1,51,7,0,0,7,11,8,7,143,7,9,9,13,14,7,38,"Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Marinilabiaceae; unknown genus; unknown species","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinilabiaceae","unknowngenus","unknownspecies"
"Bac_OTU_220",0,0,5,13,8,8,13,4,0,1,2,0,18,18,1,4,62,76,35,26,4,1,1,3,6,9,2,15,"Bacteria; Firmicutes; Clostridia; M55-D21; unknown family; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","M55-D21","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_221",2,0,10,2,2,0,3,2,3,2,2,2,4,2,3,2,57,63,40,32,18,20,15,13,11,19,24,8,"Bacteria; Tenericutes; Mollicutes; NB1-n; unknown family; unknown genus; unknown species","Bacteria","Tenericutes","Mollicutes","NB1-n","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_222",37,28,49,20,16,2,6,1,6,1,8,13,0,9,6,4,6,4,17,2,48,34,57,18,19,25,18,13,"Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; unknown genus; unknown species","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","unknowngenus","unknownspecies"
"Bac_OTU_223",0,0,6,50,81,45,40,0,1,0,0,1,40,39,0,0,19,28,36,33,12,0,0,1,0,0,0,13,"Bacteria; Firmicutes; Clostridia; Clostridiales; Caldicoprobacteraceae; Caldicoprobacter; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Caldicoprobacteraceae","Caldicoprobacter","unknownspecies"
"Bac_OTU_224",0,0,8,30,45,83,98,0,0,0,0,0,41,74,0,0,16,11,23,33,43,0,3,0,0,0,0,19,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Dethiobacter; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","Dethiobacter","unknownspecies"
"Bac_OTU_225",4,0,1,1,6,0,2,6,7,5,1,4,4,0,8,39,2,0,1,1,0,13,12,40,33,21,40,9,"Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhodobiaceae; Tepidamorphus; unknown species","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae","Tepidamorphus","unknownspecies"
"Bac_OTU_226",1,0,10,2,10,6,3,1,1,0,1,1,5,2,1,0,3,18,5,3,4,17,17,27,10,32,45,14,"Bacteria; Cyanobacteria; ML635J-21; unknown order; unknown family; unknown genus; unknown species","Bacteria","Cyanobacteria","ML635J-21","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_227",0,0,35,11,46,2,0,0,0,0,0,0,0,2,0,0,14,53,19,18,39,4,6,8,14,16,4,13,"Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Blvii28 wastewater-sludge group; unknown species","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Blvii28wastewater-sludgegroup","unknownspecies"
"Bac_OTU_228",2,1,20,1,11,5,5,4,7,0,3,12,9,9,9,0,12,21,16,10,15,24,20,18,20,32,11,2,"Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unknowngenus","unknownspecies"
"Bac_OTU_229",14,3,6,10,4,7,24,12,16,14,18,12,19,21,10,41,7,1,4,6,5,11,28,11,5,6,3,7,"Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; unknown genus; unknown species","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","unknowngenus","unknownspecies"
"Bac_OTU_230",0,0,7,35,15,7,23,2,2,3,1,3,39,23,1,0,36,33,27,28,29,2,4,0,2,2,2,32,"Bacteria; Firmicutes; Clostridia; B55-F-B-G02; unknown family; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","B55-F-B-G02","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_231",12,8,17,2,11,26,4,8,10,7,11,11,0,7,3,1,1,2,5,5,5,17,7,14,32,21,24,8,"Bacteria; Planctomycetes; Phycisphaerae; Phycisphaerales; Phycisphaeraceae; SM1A02; unknown species","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02","unknownspecies"
"Bac_OTU_232",28,16,3,2,2,2,1,20,7,4,4,21,0,0,5,4,8,5,3,3,0,15,31,25,17,9,30,0,"Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; unknown genus; unknown species","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","unknowngenus","unknownspecies"
"Bac_OTU_233",8,0,2,1,0,0,0,0,3,1,0,1,0,0,46,26,2,6,0,0,0,26,32,19,18,23,17,1,"Bacteria; Proteobacteria; Deltaproteobacteria; Bradymonadales; unknown family; unknown genus; unknown species","Bacteria","Proteobacteria","Deltaproteobacteria","Bradymonadales","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_234",1,0,0,0,0,0,0,3,3,7,2,3,0,0,0,9,0,0,0,0,3,38,27,42,59,88,37,0,"Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unknowngenus","unknownspecies"
"Bac_OTU_235",0,0,4,21,8,11,21,0,0,0,0,0,3,24,0,0,35,70,38,26,18,3,1,4,1,1,1,16,"Bacteria; Bacteroidetes; Bacteroidetes BD2-2; unknown order; unknown family; unknown genus; unknown species","Bacteria","Bacteroidetes","BacteroidetesBD2-2","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_236",0,0,5,76,37,38,24,0,1,0,8,0,21,38,0,0,20,31,18,15,9,0,0,0,0,0,0,13,"Bacteria; Firmicutes; Clostridia; Clostridiales; Multi-affiliation; Multi-affiliation; Multi-affiliation","Bacteria","Firmicutes","Clostridia","Clostridiales","Multi-affiliation","Multi-affiliation","Multi-affiliation"
"Bac_OTU_237",6,1,3,1,0,0,0,0,0,1,1,0,1,0,34,36,1,1,0,0,0,17,35,18,27,24,11,1,"Bacteria; Bacteroidetes; Bacteroidetes Incertae Sedis; Order III; ML310M-34; unknown genus; unknown species","Bacteria","Bacteroidetes","BacteroidetesIncertaeSedis","OrderIII","ML310M-34","unknowngenus","unknownspecies"
"Bac_OTU_238",10,13,6,0,5,0,0,1,2,2,5,2,1,0,102,98,10,16,0,0,0,1,3,1,3,0,3,0,"Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cyclobacteriaceae; Negadavirga; Negadavirga shengliensis","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Negadavirga","Negadavirgashengliensis"
"Bac_OTU_239",0,0,6,27,32,83,27,1,6,0,2,2,46,32,0,4,8,10,18,34,22,1,3,1,4,3,4,18,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","unknowngenus","unknownspecies"
"Bac_OTU_240",10,7,7,0,0,0,0,0,0,0,0,0,0,0,75,104,12,0,7,5,0,0,0,0,0,0,0,0,"Bacteria; Proteobacteria; Deltaproteobacteria; Bdellovibrionales; Bdellovibrionaceae; OM27 clade; unknown species","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","OM27clade","unknownspecies"
"Bac_OTU_243",33,31,13,7,8,2,0,19,15,2,13,16,0,0,30,92,0,2,8,2,3,12,15,6,8,6,6,4,"Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; unknown genus; unknown species","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","unknowngenus","unknownspecies"
"Bac_OTU_244",20,12,13,10,0,1,1,3,4,10,1,3,1,1,15,22,1,4,2,1,1,11,32,26,10,8,9,3,"Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rubribacterium; unknown species","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubribacterium","unknownspecies"
"Bac_OTU_245",0,0,0,1,1,8,1,0,0,0,0,0,1,1,0,0,42,51,48,25,19,1,0,0,0,0,0,21,"Bacteria; Bacteroidetes; Sphingobacteriia; Sphingobacteriales; B01R012; unknown genus; unknown species","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","B01R012","unknowngenus","unknownspecies"
